id,create_timestamp,name,name_lower,description,archiving_timestamp
1,2008-11-05 00:00:00,Bell Canada,bell canada,This is for all of the BCE group of companies,
2,2008-11-05 00:00:00,Spacefile,spacefile,,
3,2008-11-05 00:00:00,Filogix,filogix,,2017-08-15 19:15:19
4,2008-11-05 00:00:00,Markham District Energy,markham district energy,,
5,2008-11-05 00:00:00,Teradata,teradata,,
6,2008-11-05 00:00:00,Rogers,rogers,,
7,2008-11-05 00:00:00,Eckler Limited,eckler limited,,2017-08-15 19:15:19
8,2008-11-05 00:00:00,Project X Ltd.,project x ltd.,This is a spot for all of your other types of time,
9,2009-07-25 00:00:00,Crescent - 278,crescent - 278,,
10,2009-07-25 00:00:00,HP,hp,Hewlett Packard,2017-08-15 19:15:31
11,2009-07-25 00:00:00,TD Bank,td bank,,
12,2011-03-30 00:00:00,Planview (Crann and Associates),planview (crann and associates),,
13,2011-03-30 00:00:00,Johnson Insurance,johnson insurance,,2017-08-15 19:15:31
14,2012-07-06 21:51:31,RSA - Royal Sun Alliance,rsa - royal sun alliance,,
15,2012-07-06 21:59:38,Roche,roche,,
16,2012-07-12 18:16:18,Rothmans,rothmans,,
17,2012-09-04 16:26:16,Four Seasons,four seasons,,
18,2012-09-04 16:28:36,Brampton Brick Limited,brampton brick limited,,2017-08-15 19:15:19
19,2012-10-30 13:57:10,Group TVA,group tva,,
20,2012-11-21 13:05:17,Moxie Retail,moxie retail,,
21,2013-02-04 13:13:29,Marsh,marsh,,
22,2013-02-04 13:14:15,Computer Talk,computer talk,,2017-08-15 19:15:19
23,2013-05-06 20:13:27,RN Design,rn design,,
24,2013-05-06 20:13:48,Relay Health,relay health,,
25,2013-05-21 11:15:03,407 ETR,407 etr,,
26,2013-06-22 09:36:11,Project X Labs Ltd,project x labs ltd,,
27,2013-07-14 09:31:38,East Penn,east penn,,
28,2014-01-23 13:43:53,First Canadian Title,first canadian title,,
29,2014-05-05 12:33:37,Canadian Cancer Society,canadian cancer society,,2017-08-15 19:15:19
30,2014-05-05 12:35:59,Katz Group of Companies,katz group of companies,,
32,2014-09-05 16:13:31,TTC,ttc,,
33,2014-11-24 09:31:24,Longo's Brothers Fruit Markets Inc.,longo's brothers fruit markets inc.,,
34,2014-11-24 09:40:38,Giant Tiger,giant tiger,,2017-08-15 19:15:31
35,2014-11-24 15:33:39,Royal St. George's College,royal st. george's college,,
36,2015-11-30 13:57:59,Marketwired,marketwired,,
37,2016-03-02 11:39:05,Saint Elizabeth Health Care,saint elizabeth health care,,
38,2016-05-11 14:20:20,RBC,rbc,,
39,2016-05-24 14:43:03,WSIB,wsib,,
40,2016-11-30 14:52:29,The Source,the source,,
41,2017-04-27 22:03:27,Shoppers Drug Mart,shoppers drug mart,,
42,2017-08-14 16:21:18,Sutton Specialty Risk,sutton specialty risk,,
43,2017-09-25 19:57:29,Windermere Golf and Country Club,windermere golf and country club,,
44,2017-10-02 22:51:19,Bell Media,bell media,,
45,2017-11-01 14:19:25,Mastermind Toys Corporation,mastermind toys corporation,,
46,2017-12-11 21:15:40,Kinross Gold Corporation,kinross gold corporation,,
47,2018-02-02 19:30:00,McCain Food Canada,mccain food canada,,
48,2018-02-07 20:50:05,MicroStrategy,microstrategy,,
49,2018-02-12 21:28:01,Torstar Corporation,torstar corporation,,
50,2018-03-05 18:42:02,Reformulary Group Inc.,reformulary group inc.,,
51,2018-03-26 18:35:15,Canada Cartage,canada cartage,,
52,2018-03-26 19:47:36,Unilever Canada Inc.,unilever canada inc.,,
53,2018-05-18 16:13:06,HBC,hbc,,
54,2018-11-20 16:26:05,Harry Rosen Inc.,harry rosen inc.,,
55,2019-05-27 13:58:28,EXFO Inc.,exfo inc.,,
56,2019-06-09 18:04:08,"Sirius International Insurance Group, Ltd.","sirius international insurance group, ltd.",,
57,2019-06-10 14:26:30,Jumptools,jumptools,,
58,2019-07-10 19:54:26,Haventree Bank,haventree bank,,
59,2019-08-06 20:16:01,MTS - Manitoba Telecom Services,mts - manitoba telecom services,,
60,2021-01-08 15:40:30,Canadian Broadcasting Corporation (CBC),canadian broadcasting corporation (cbc),,
61,2021-09-09 14:37:09,Freshbooks,freshbooks,Legal name is 2nd Site Inc.,
62,2022-04-11 15:35:52,Choice Properties REIT,choice properties reit,,
64,2023-01-30 14:47:38,National Logistics Services (NLS),national logistics services (nls),,
65,2023-03-21 12:43:38,Scene +,scene +,,
66,2023-11-08 01:48:00,Northbridge Financial Corporation,northbridge financial corporation,,
67,2024-03-08 19:55:24,AG Data,ag data,,
